name_similarity,shared_links,id_a,name_a,projects_a,id_b,name_b,projects_b,urls
0.39,2,hardware.3x7x0-5-shim-ring-3mm-id-7-mm-od,"3x7x0.5 Shim Ring (3mm ID, 7 mm OD)",voron-0,hardware.shim-washer-6mm-od-3mm-id-0-5mm-thick-thickness-is-important,Shim Washer - 6mm OD - 3mm ID - 0.5mm Thick (thickness is important),voron-0.2 voron-0.1,https://s.click.aliexpress.com/e/_Bf9nOYLc | https://s.click.aliexpress.com/e/_dUjNx0o
0.39,1,misc.bowden-tube,Bowden Tube,voron-trident mobius-3.1 voron-1.8 voron-2.2,misc.bowden-tube-4mm-od-id-depends-on-extruder-type,"Bowden Tube (4mm OD, ID depends on extruder type)",voron-2.4,https://www.aliexpress.com/item/1005001408141263.html
0.33,1,electronics.nema17-motor-17hs08-1004s,NEMA17 Motor 17HS08-1004S,voron-trident afterburner jetpack voron-1.8,motion.linear-rail-mgn12h-for-x-axis,Linear Rail MGN12H for X Axis,voron-trident,https://docs.ldomotors.com/en/voron/LDO_Voron_Distributors
0.33,1,electronics.nema17-motor-17hs19-2004s-min-35mm-shaft-for-double-shear,NEMA17 Motor 17HS19-2004S (min 35mm shaft for double shear),voron-trident,motion.linear-rail-mgn12h-for-x-axis,Linear Rail MGN12H for X Axis,voron-trident,https://docs.ldomotors.com/en/voron/LDO_Voron_Distributors
0.26,2,motion.f695-2rs,F695 2RS,voron-m4 mobius-3.1,motion.f695-bearing-add-two-for-stepper-double-shear,F695 Bearing (add two for stepper double shear),voron-trident,https://www.aliexpress.com/item/32850989216.html | https://www.aliexpress.com/item/33001186278.html
0.26,2,cables.10x11-cable-chain-openable-1m,10x11 Cable Chain - Openable (1m),voron-switchwire,cables.10x11mm-1-meter-with-2-end-sets-2-fixed-end-2-free-end-r18-18mm-radius,"10x11mm - 1 meter with 2 end sets (2 fixed end, 2 free end), R18 (18mm radius)",voron-1.8,https://www.aliexpress.com/item/33000014666.html | https://www.amazon.com/dp/B07QLGWQ1L
0.26,2,cables.10x11-cable-chain-openable-1m,10x11 Cable Chain - Openable (1m),voron-switchwire,cables.10x11mm-1-meter-with-3-end-sets-3-fixed-end-3-free-end-r18-18mm-radius,"10x11mm - 1 meter with 3 end sets (3 fixed end, 3 free end), R18 (18mm radius)",voron-trident,https://www.aliexpress.com/item/33000014666.html | https://www.amazon.com/dp/B07QLGWQ1L
0.24,1,electronics.ac-inlet,AC Inlet,voron-0.1,electronics.iec320-c14-inlet-push-fit-w-rocker-switch-fuse,IEC320 C14 Inlet - Push-fit - w/ Rocker Switch & Fuse,voron-2.4 voron-switchwire,https://www.digikey.com/en/products/detail/adam-tech/IEC-GS-1-100/9831135
0.23,1,controller.a4988-stepper-motor-driver,A4988 Stepper Motor Driver,voron-1.6.2 voron-2.2,controller.arduino-mega-2560,Arduino Mega 2560,voron-1.6.2 voron-2.2,https://www.zyltech.com/ramps-1-4-3d-printer-controller-mega-2560-atmega16u2-atmega2560-5x-a4988-2a-drivers
0.22,1,misc.bowden-tube-4mm-od-id-depends-on-extruder-type,"Bowden Tube (4mm OD, ID depends on extruder type)",voron-2.4,misc.ptfe-tube,PTFE Tube,stealthburner,https://www.aliexpress.com/item/1005001408141263.html
0.17,1,electronics.nema17-motor-17hs08-1004s,NEMA17 Motor 17HS08-1004S,voron-trident afterburner jetpack voron-1.8,frame.misumi-hfsb5-2020-size-depends-use-configurator,Misumi HFSB5-2020 (Size depends - use configurator),voron-2.4 voron-trident voron-1.8 voron-2.2,https://docs.ldomotors.com/en/voron/LDO_Voron_Distributors
