item_id,item_name,category,project,project_status,text_only_sources
frame.makerbeam-xl-15x15-100mm,Makerbeam XL 15x15 100mm,Frame,voron-0.2,current,
frame.makerbeam-xl-15x15-100mm,Makerbeam XL 15x15 100mm,Frame,voron-0,legacy,
frame.makerbeam-xl-15x15-100mm,Makerbeam XL 15x15 100mm,Frame,voron-0.1,legacy,
frame.makerbeam-xl-15x15-80-100mm,Makerbeam XL 15x15 80-100mm,Frame,voron-0.2,current,
frame.misumi-2020-x-340mm-hfsb5-2020-340,Misumi 2020 x 340mm - HFSB5-2020-340,Frame,voron-switchwire,current,
frame.misumi-2020-x-340mm-hfsb5-2020-340-ah15-bh325,Misumi 2020 x 340mm - HFSB5-2020-340-AH15-BH325,Frame,voron-switchwire,current,
frame.misumi-3030-x-300mm-hfsb6-3030-300-tpw,Misumi 3030 x 300mm - HFSB6-3030-300-TPW,Frame,voron-switchwire,current,
frame.misumi-3030-x-360mm-hfsb6-3030-360-lch-rch,Misumi 3030 x 360mm - HFSB6-3030-360-LCH-RCH,Frame,voron-switchwire,current,
frame.misumi-3030-x-400mm-hfsb6-3030-400-tpw,Misumi 3030 x 400mm - HFSB6-3030-400-TPW,Frame,voron-switchwire,current,
frame.misumi-3060-x-520mm-hfsb6-3060-520-ah105-bh415-av180,Misumi 3060 x 520mm - HFSB6-3060-520-AH105-BH415-AV180,Frame,voron-switchwire,current,
hardware.hotend-mounting-screws-m2-5-m3,Hotend Mounting Screws (M2.5/M3),Hardware,stealthburner,current,
hardware.m3x10-shcs,M3x10 SHCS,Hardware,stealthburner,current,
hardware.m3x10mm-bhcs,M3x10mm BHCS,Hardware,voron-0,legacy,
hardware.m3x12mm-bhcs,M3x12mm BHCS,Hardware,voron-0,legacy,
hardware.m3x30mm-bhcs,M3x30mm BHCS,Hardware,voron-0,legacy,
hardware.m3x6mm-bhcs,M3x6mm BHCS,Hardware,voron-0,legacy,
hardware.m3x8-fhcs,M3x8 FHCS,Hardware,voron-0.2,current,
hardware.m3x8-fhcs,M3x8 FHCS,Hardware,voron-0.1,legacy,
hotend.e3d-v6-hotend-bowden,E3D V6 Hotend Bowden,Hotend,afterburner,legacy,
hotend.trianglelab-dragon-hotend,TriangleLab Dragon Hotend,Hotend,afterburner,legacy,
misc.medium-strength-thread-locker,medium strength thread locker,Misc,voron-0.2,current,
motion.gt2-20t-6mm-wide-pulley-5mm-bore-no-set-screw-hub,GT2 20T (6mm wide) Pulley (5mm bore) - No Set Screw Hub,Motion,voron-2.2,legacy,Build from 2x POWGE 20t 6mm Pulley
motion.gt2-open-belt-ll-2gt-6-6mm-wide-800mm,GT2 Open Belt LL-2GT-6 (6mm wide) - 800mm,Motion,voron-switchwire,current,
motion.linear-rail-mgn9h-for-z-axis,Linear Rail MGN9H for Z Axis,Motion,voron-trident,current,
panels.side-front-top-acrylic-panels.voron-switchwire,Side/Front/Top Acrylic Panels,Panels,voron-switchwire,current,
printed-parts.printed-parts,Printed Parts,Printed Parts,mobius-3.1,legacy,Print Yourself
printed-parts.printed-parts,Printed Parts,Printed Parts,voron-0,legacy,
tools.nlgi1-or-2-grease-eg-mobilux-ep1-ep2-polyrex-222-shc-220,"NLGI1 or 2 Grease eg:Mobilux EP1/EP2, Polyrex 222, SHC 220",Tools,tools,current,
misc.the-2-x-guides-should-have-the-rest-of-the-required-parts,The 2.x guides should have the rest of the required parts,,voron-1.6.2,legacy,
