name,tabs,variants_full,variants_link,variants_name,names_as_written,projects
Wire 18gauge 10ft (individual strand length total [example: 25ft of 4p wire=100ft]),2,2,1,2,Silicone Wire 18gauge 10ft (individual strand length total [example: 25ft of 4p wire=100ft]) | Wire 18gauge 10ft (individual strand length total [example: 25ft of 4p wire=100ft]),voron-0.1 voron-0.2
Silicone AC Heater 200x200mm,5,1,1,1,Silicone AC Heater 200x200mm,voron-1.6.2 voron-1.8 voron-2.2 voron-2.4 voron-trident
Thermal Fuse,5,1,1,1,Thermal Fuse,voron-1.6.2 voron-1.8 voron-2.2 voron-2.4 voron-trident
M4x6 BHCS,4,1,1,1,M4x6 BHCS,voron-1.8 voron-2.2 voron-2.4 voron-trident
MLX Female Pin (02-08-1002),4,1,1,1,MLX Female Pin (02-08-1002),voron-1.8 voron-2.2 voron-2.4 voron-trident
MLX Male Pin (02-08-2004),4,1,1,1,MLX Male Pin (02-08-2004),voron-1.8 voron-2.2 voron-2.4 voron-trident
MLX Power Plug 3 Position (50-84-1030),4,1,1,1,MLX Power Plug 3 Position (50-84-1030),voron-1.8 voron-2.2 voron-2.4 voron-trident
MLX Power Receptacle 3 Position (50-84-2030),4,1,1,1,MLX Power Receptacle 3 Position (50-84-2030),voron-1.8 voron-2.2 voron-2.4 voron-trident
24V Heater Cartridge (slim wires),3,1,1,1,24V Heater Cartridge (slim wires),voron-0 voron-0.1 voron-0.2
GT2 16T (6mm wide) Pulley (5mm bore),3,1,1,1,GT2 16T (6mm wide) Pulley (5mm bore),jetpack voron-2.2 voron-2.4
Makerbeam XL 15x15 100mm,3,1,1,1,Makerbeam XL 15x15 100mm,voron-0 voron-0.1 voron-0.2
Mean Well LRS-200-24 PSU,3,1,1,1,Mean Well LRS-200-24 PSU,voron-1.8 voron-2.4 voron-trident
PL-08N Inductive Probe,3,1,1,1,PL-08N Inductive Probe,voron-1.6.2 voron-1.8 voron-2.2
Silicone AC Heater 240x240mm,3,1,1,1,Silicone AC Heater 240x240mm,voron-1.8 voron-2.2 voron-trident
Silicone AC Heater 300x300mm,3,1,1,1,Silicone AC Heater 300x300mm,voron-2.2 voron-2.4 voron-trident
Spring Steel Flex Buildplate 120x120mm (OPTIONAL),3,1,1,1,Spring Steel Flex Buildplate 120x120mm (OPTIONAL),voron-0 voron-0.1 voron-0.2
Thermistor for your hotend of choice,3,1,1,1,Thermistor for your hotend of choice,voron-0 voron-0.1 voron-0.2
120x120x15 Fan (12V) (Rear can use 120x120x25 Fan),2,1,1,1,120x120x15 Fan (12V) (Rear can use 120x120x25 Fan),voron-1.6.2 voron-2.2
2mmx100mm zip ties,2,1,1,1,2mmx100mm zip ties,voron-0.1 voron-0.2
3m 5952 VHB,2,1,1,1,3m 5952 VHB,voron-0.1 voron-0.2
40x40x10 Centrifugal Blower Fan (12V),2,1,1,1,40x40x10 Centrifugal Blower Fan (12V),voron-1.6.2 voron-2.2
5mm x 50mm Shaft,2,1,1,1,5mm x 50mm Shaft,mobius-3.1 voron-m4
5x60mm Shaft - Grind Flat,2,1,1,1,5x60mm Shaft - Grind Flat,voron-2.2 voron-2.4
625 2RS Bearing,2,1,1,1,625 2RS Bearing,voron-2.2 voron-2.4
Astrosyn Dampener,2,1,1,1,Astrosyn Dampener,mobius-3.1 voron-2.2
BMG Extruder Insides 5mmID,2,1,1,1,BMG Extruder Insides 5mmID,voron-0.1 voron-0.2
Bondtech Drive Gear Kit 5mmID,2,1,1,1,Bondtech Drive Gear Kit 5mmID,voron-0.1 voron-0.2
"DIN Rail - Electronics Enclosure - Steel - 35mm wide, 7.5mm tall, Steel",2,1,1,1,"DIN Rail - Electronics Enclosure - Steel - 35mm wide, 7.5mm tall, Steel",voron-1.8 voron-trident
Dragon Fly BMO Hotend,2,1,1,1,Dragon Fly BMO Hotend,voron-0.1 voron-0.2
Dupont 2 Pin Connector,2,1,1,1,Dupont 2 Pin Connector,voron-1.8 voron-trident
E3D V6 Bowden Hotend Kit (12V),2,1,1,1,E3D V6 Bowden Hotend Kit (12V),voron-1.6.2 voron-2.2
F695 2RS,2,1,1,1,F695 2RS,mobius-3.1 voron-m4
FYSETC mini12864 Display (Type B),2,1,1,1,FYSETC mini12864 Display (Type B),voron-1.8 voron-trident
Foam Panel Tape (5mm wide/3mm thick),2,1,1,1,Foam Panel Tape (5mm wide/3mm thick),voron-2.4 voron-trident
Fuse 2.5A 250V Holder Cartridge 5 X 20mm Glass,2,1,1,1,Fuse 2.5A 250V Holder Cartridge 5 X 20mm Glass,voron-0.1 voron-0.2
GT2 20T (9mm wide) Pulley (5mm bore),2,1,1,1,GT2 20T (9mm wide) Pulley (5mm bore),voron-2.2 voron-2.4
GT2 Open Belt LL-2GT-6 (6mm wide),2,1,1,1,GT2 Open Belt LL-2GT-6 (6mm wide),voron-1.8 voron-trident
HFSB5-2020-240,2,1,1,1,HFSB5-2020-240,voron-1.8 voron-trident
HFSB5-2020-370-TPW,2,1,1,1,HFSB5-2020-370-TPW,voron-1.8 voron-trident
"Integrated Lead Screw/Stepper Motors - 300mm, 2/4/8mm pitch",2,1,1,1,"Integrated Lead Screw/Stepper Motors - 300mm, 2/4/8mm pitch",voron-1.8 voron-trident
"JST connectors (2pin,3pin,4pin,5pin)",2,1,1,1,"JST connectors (2pin,3pin,4pin,5pin)",voron-0.1 voron-0.2
M2x12 Self Tapping Screw for Plastics,2,1,1,1,M2x12 Self Tapping Screw for Plastics,voron-1.8 voron-2.2
M2x6 FHCS,2,1,1,1,M2x6 FHCS,voron-0.1 voron-0.2
M3 T-nut HNTAJ5-3,2,1,1,1,M3 T-nut HNTAJ5-3,voron-2.2 voron-2.4
M3x16 BHCS,2,1,1,1,M3x16 BHCS,voron-0.1 voron-0.2
M3x8 FHCS,2,1,1,1,M3x8 FHCS,voron-0.1 voron-0.2
M5 1.0mm Thick Shim/Washer,2,1,1,1,M5 1.0mm Thick Shim/Washer,voron-1.8 voron-trident
