id,name,category,standard,coverage,scope,base_product,machining,n_tabs,tabs,current_tabs,n_live_links,vendors,text_only_sources,aliases,notes,qty:voron-2.4,qty:voron-trident,qty:voron-0.2,qty:voron-switchwire,qty:voron-cascade,qty:stealthburner,qty:optional-parts,qty:tools,qty:afterburner,qty:voron-m4,qty:mobius-3.1,qty:jetpack,qty:voron-0,qty:voron-0.1,qty:voron-1.8,qty:voron-1.6.2,qty:voron-2.2,link_1,link_2,link_3,link_4,link_5,link_6,link_7,link_8,link_9,link_10,link_11,link_1_url,link_2_url,link_3_url,link_4_url,link_5_url,link_6_url,link_7_url,link_8_url,link_9_url,link_10_url,link_11_url
misc.bowden-tube,Bowden Tube,Misc,,partial,,,,4,voron-trident mobius-3.1 voron-1.8 voron-2.2,voron-trident,1,AliExpress,,,"Trident uses a ""reverse bowden""--so it's not under load and not critical, and is no longer a wear item. Purchase whatever suits your fancy / 4mm OD, 2mm ID, get 10m of the first supplier, its cheap and is a wear item / V1.8 uses a ""reverse bowden""--so it's not under load and not critical, and is no longer a wear item. Purchase whatever suits your fancy",,,,,,,,,,,3m,,,,,,3m,Aliexpress,,,,,,,,,,,https://www.aliexpress.com/item/1005001408141263.html,,,,,,,,,,
misc.bowden-tube-4mm-od-2mm-id,"Bowden Tube (4mm OD, 2mm ID)",Misc,,none_live,,,,2,voron-switchwire jetpack,voron-switchwire,0,,,Bowden Tube 4mm OD/2mm ID,"4mm OD, 2mm ID, get 10m of the first supplier, its cheap and is a wear item",,,,30mm,,,,,,,,3m,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc.bowden-tube-4mm-od-3mm-id-optional-for-reverse-bowden,"Bowden Tube (4mm OD, 3mm ID) optional for reverse bowden",Misc,,none_live,,,,1,voron-switchwire,voron-switchwire,0,,,,"4mm OD, 2mm ID, get 10m of the first supplier, its cheap and is a wear item",,,,3m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc.bowden-tube-4mm-od-id-depends-on-extruder-type,"Bowden Tube (4mm OD, ID depends on extruder type)",Misc,,partial,,,,1,voron-2.4,voron-2.4,1,AliExpress,,,"4mm OD, 2mm ID, get 10m of the first supplier, its cheap and is a wear item",3m,,,,,,,,,,,,,,,,,Aliexpress,,,,,,,,,,,https://www.aliexpress.com/item/1005001408141263.html,,,,,,,,,,
misc.din-rail-electronics-enclosure-steel-35mm-wide-7-5mm-tall-steel,"DIN Rail - Electronics Enclosure - Steel - 35mm wide, 7.5mm tall, Steel",Misc,,all_live,,,,2,voron-trident voron-1.8,voron-trident,1,AliExpress,,,,,2@250 build - 369mm; 2@300 build - 419mm; 2@350 build - 469mm,,,,,,,,,,,,,2-3@250 build - 370mm; 2-3@300 build - 420mm,,,Aliexpress,,,,,,,,,,,https://www.aliexpress.com/item/4001002262174.html,,,,,,,,,,
misc.filament-out-switch,Filament Out Switch,Misc,,all_live,,,,1,optional-parts,optional-parts,1,AliExpress,,,Holder is on the mobius github,,,,,,,Spare,,,,,,,,,,,Aliexpress,,,,,,,,,,,https://www.aliexpress.com/item/32829808063.html,,,,,,,,,,
misc.foam-panel-tape-5mm-wide-1mm-thick,Foam Panel Tape (5mm Wide/1mm Thick),Misc,,all_live,,,,1,optional-parts,optional-parts,2,AliExpress | Amazon,,,,,,,,,,2,,,,,,,,,,,Aliexpress,Amazon,,,,,,,,,,https://www.aliexpress.com/item/32885016096.html,https://www.amazon.com/dp/B07L6JKJD1,,,,,,,,,
misc.foam-panel-tape-5mm-wide-3mm-thick,Foam Panel Tape (5mm wide/3mm thick),Misc,,all_live,,,,2,voron-2.4 voron-trident,voron-2.4 voron-trident,1,AliExpress,,,,7m,7m,,,,,,,,,,,,,,,,Aliexpress,,,,,,,,,,,https://www.aliexpress.com/item/32885016096.html,,,,,,,,,,
misc.fume-extractor-carbon-filter-element,Fume Extractor Carbon Filter Element,Misc,,all_live,,,,1,optional-parts,optional-parts,3,Amazon | AliExpress,,,"Goes in rear exhaust housing, may require slight cut to size to fit, stack multiple inside to fill volume",,,,,,,1,,,,,,,,,,,Amazon,Aliexpress,Aliexpress,,,,,,,,,https://www.amazon.com/dp/B07KWYTCG5,https://www.aliexpress.com/item/32981088131.html,https://www.aliexpress.com/item/33051112482.html,,,,,,,,
misc.john-guest-bowden-coupling-1-8-bspp-4mm-tubing,"John Guest Bowden Coupling (1/8"" BSPP, 4mm Tubing)",Misc,,partial,,,,1,jetpack,,1,Filastruder,,,,,,,,,,,,,,,1,,,,,,Filastruder,,,,,,,,,,,https://www.filastruder.com/products/bowden-couplings-all-types?variant=21285997380,,,,,,,,,,
misc.little-rubber-feet-14x11x9mm,Little Rubber Feet (14x11x9mm),Misc,,partial,,,,3,voron-0.2 voron-0 voron-0.1,voron-0.2,1,AliExpress,,,,,,4,,,,,,,,,,4,4,,,,Aliexpress,,,,,,,,,,,https://s.click.aliexpress.com/e/_A8ySFU,,,,,,,,,,
misc.medium-strength-thread-locker,medium strength thread locker,Misc,,no_links,,,,1,voron-0.2,voron-0.2,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc.metal-x-carriage-optional,Metal X Carriage (OPTIONAL),Misc,,none_live,,,,1,voron-0.1,,0,,,,"yes its a bit expensive but this part is the single best bang for buck upgrade mod, dont waste money on other metal parts besides this one.",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
misc.mosquito-hotend-sock,Mosquito Hotend Sock,Misc,,none_live,,,,1,optional-parts,optional-parts,0,,,,"buy in bulk, these are wear items",,,,,,,Spare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc.needle-bearings-for-bondtech-idler,Needle Bearings for Bondtech Idler,Misc,,all_live,,,,1,mobius-3.1,,1,AliExpress,,,doesnt hurt to grab 1 or 2,,,,,,,,,,,1,,,,,,,Aliexpress,,,,,,,,,,,https://www.aliexpress.com/item/32948087238.html,,,,,,,,,,
misc.nozzle-scrubber-brush,Nozzle Scrubber Brush,Misc,,none_live,,,,1,optional-parts,optional-parts,0,,,,Cut the handle off with a hacksaw,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misc.ptfe-tube,PTFE Tube,Misc,,partial,,,,1,stealthburner,stealthburner,1,AliExpress,,,,,,,,,1,,,,,,,,,,,,Aliexpress,,,,,,,,,,,https://www.aliexpress.com/item/1005001408141263.html,,,,,,,,,,
misc.v6-hotend-sock,V6 Hotend Sock,Misc,,all_live,,,,1,optional-parts,optional-parts,1,AliExpress,,,"buy in bulk, these are wear items",,,,,,,Spare,,,,,,,,,,,Aliexpress,,,,,,,,,,,https://www.aliexpress.com/item/32922594383.html,,,,,,,,,,
misc.volcano-hotend-sock,Volcano Hotend Sock,Misc,,all_live,,,,1,optional-parts,optional-parts,1,AliExpress,,,"buy in bulk, these are wear items",,,,,,,Spare,,,,,,,,,,,Aliexpress,,,,,,,,,,,https://www.aliexpress.com/item/32970236537.html,,,,,,,,,,
motion.110-gt2-belt-loop,110 gt2 belt loop,Motion,,none_live,,,,1,voron-0,,0,,included in kit,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
motion.5mm-x-45mm-shaft-grind-flat,5mm x 45mm Shaft - Grind Flat,Motion,,all_live,,,,1,jetpack,,1,AliExpress,,,,,,,,,,,,,,,1,,,,,,linkcnc (Aliexpress),,,,,,,,,,,https://www.aliexpress.com/item/1739093502.html,,,,,,,,,,
motion.5mm-x-50mm-shaft,5mm x 50mm Shaft,Motion,,all_live,,,,2,voron-m4 mobius-3.1,,1,AliExpress,,,,,,,,,,,,,1,1,,,,,,,linkcnc,,,,,,,,,,,https://www.aliexpress.com/item/1739093502.html,,,,,,,,,,
motion.5x26mm-shaft,5x26mm Shaft,Motion,,all_live,,,,1,voron-2.2,,1,AliExpress,,,,,,,,,,,,,,,,,,,,2,linkcnc,,,,,,,,,,,https://www.aliexpress.com/item/1739093502.html,,,,,,,,,,
motion.5x28mm-shaft-you-can-cut-down-a-30mm-bed-height-will-change-this,"5x28mm Shaft - (You can cut down a 30mm, Bed Height will change this)",Motion,,all_live,,,,1,voron-2.2,,1,AliExpress,,,,,,,,,,,,,,,,,,,,1,linkcnc,,,,,,,,,,,https://www.aliexpress.com/item/1739093502.html,,,,,,,,,,
motion.5x30mm-shaft,5x30mm Shaft,Motion,,all_live,,,,4,voron-2.4 voron-trident voron-1.8 voron-2.2,voron-2.4 voron-trident,2,AliExpress,,,,1,1,,,,,,,,,,,,,1,,6,linkcnc,linkcnc,,,,,,,,,,https://www.aliexpress.com/item/1739093502.html,https://www.aliexpress.com/item/32769265211.html,,,,,,,,,
motion.5x50mm-shaft-grind-flat,5x50mm Shaft - Grind Flat,Motion,,all_live,,,,1,voron-2.2,,1,AliExpress,,,,,,,,,,,,,,,,,,,,2,linkcnc,,,,,,,,,,,https://www.aliexpress.com/item/1739093502.html,,,,,,,,,,
motion.5x60mm-shaft-grind-flat,5x60mm Shaft - Grind Flat,Motion,,all_live,,,,2,voron-2.4 voron-2.2,voron-2.4,1,AliExpress,,,"linkcnc will precut your shafts to specified lengths if you do not have cutting tools like a Dremel, you still need to make flats yourself",4,,,,,,,,,,,,,,,,4,linkcnc,,,,,,,,,,,https://www.aliexpress.com/item/1739093502.html,,,,,,,,,,
motion.625-2rs-bearing,625 2RS Bearing,Motion,,all_live,,,,2,voron-2.4 voron-2.2,voron-2.4,2,AliExpress,,,,12,,,,,,,,,,,,,,,,16,RainDew,Fushi,,,,,,,,,,https://www.aliexpress.com/item/32991204773.html,https://www.aliexpress.com/item/32802288535.html,,,,,,,,,
motion.8mm-t8x8-trapezoidal-acme-lead-screw-200mm-8mm-lead,8mm T8x8 Trapezoidal ACME Lead Screw 200mm (8mm lead),Motion,,partial,,,,1,voron-0,,1,AliExpress,,,,,,,,,,,,,,,,1,,,,,Aliexpress,,,,,,,,,,,https://s.click.aliexpress.com/e/_dXySUv6,,,,,,,,,,
motion.extruder-spring,Extruder Spring,Motion,,all_live,,,,1,jetpack,,1,AliExpress,,,,,,,,,,,,,,,1,,,,,,TriangleLab (Aliexpress),,,,,,,,,,,https://www.aliexpress.com/item/32811213869.html,,,,,,,,,,
motion.f623-rs-bearing,F623-RS Bearing,Motion,,partial,,,,3,voron-0.2 voron-0 voron-0.1,voron-0.2,2,AliExpress,,,,,,24,,,,,,,,,,20,24,,,,Aliexpress,Aliexpress,,,,,,,,,,https://s.click.aliexpress.com/e/_AOxtwP,https://s.click.aliexpress.com/e/_d6E3oIC,,,,,,,,,
motion.f688-rs-bearing,F688-RS Bearing,Motion,,all_live,,,,1,voron-0,,2,AliExpress,included in kit,,,,,,,,,,,,,,,1,,,,,Aliexpress,F-688 zz,,,,,,,,,,https://s.click.aliexpress.com/e/_d8sMqn6,https://s.click.aliexpress.com/e/_dZVGC8K,,,,,,,,,
motion.f695-2rs-bearing,F695 2RS Bearing,Motion,,all_live,,,,7,voron-2.4 voron-trident voron-switchwire voron-m4 mobius-3.1 voron-1.8 voron-2.2,voron-2.4 voron-trident voron-switchwire,3,AliExpress,,F695 2RS | F695 Bearing (add two for stepper double shear) | F695 Bearing,,20,24,,20,,,,,,2,2,,,,20,,36,RainDew,Fushi,AliExpress,,,,,,,,,https://www.aliexpress.com/item/33001186278.html,https://www.aliexpress.com/item/32850989216.html,https://s.click.aliexpress.com/e/FhQBXGmc,,,,,,,,
motion.ge5c-spherical-bearing,GE5C Spherical Bearing,Motion,,all_live,,,,1,voron-trident,voron-trident,2,AliExpress | igus.com,,,,,3,,,,,,,,,,,,,,,,Aliexpress,Igus,,,,,,,,,,https://www.aliexpress.com/item/4000335932856.html,https://www.igus.com/search?q=EGLM-05,,,,,,,,,
motion.gt2-16t-6mm-wide-pulley-5mm-bore,GT2 16T (6mm wide) Pulley (5mm bore),Motion,,all_live,,,,3,voron-2.4 jetpack voron-2.2,voron-2.4,1,AliExpress,,,,4,,,,,,,,,,,2,,,,,4,POWGE,,,,,,,,,,,https://www.aliexpress.com/item/1744808992.html,,,,,,,,,,
